,tweet,label
3815,taking flu shot cause false positive result covid test,fake
10108,ovid latin sheep covid start c also mean ‘ see ancient language known “ number surrender ” ancient time ” go draw conclusion “ covid ‘ see sheep surrender,fake
313,india fights corona covid19 testing become affordable testing strategy increase number test make available area required e andaman nicobar island lakshadweep north-east affordable price dg,real
3459,july people found covid19 positive pune maharashtra patient already cured discharged covid 19 covidー19 covid 19 coronavirus india coronavirus updates coronavirus co vid updates,real
9973,coronavirus updates round pushpin 📍 total covid19 case india august right arrow ➡ ️76 cured discharged migrated right arrow ➡ ️21 active case right arrow ➡ ️1 death total covid confirmed case cured discharged migrated active case death via,real
118,bill gate profit vaccination want reduce world's population,fake
2022,daily update published tracked million test 336k yesterday note track test state report detail see,real
10477,latest update ministry health eight day row new case covid report new zealand ⁣ ⁣ total number confirmed case remains number report world health organization ⁣,real
6027,following coronavirus pandemic film star salman khan given ambulance india,fake
2034,loudspeaker 📢 coronavirus updates check mark button ✅ india's covid19 recovery rate improves 79.68 september round pushpin 📍 steady improvement india's covid recovery rate since lockdown initiation march india fights corona via,real
5689,extremely good news bendigo hit covid-zero out-of-area patient hospital,fake
2856,another reason casual attitude people towards covid 19 people seen crowded place without taking precautionary measure wearing face mask maintaining social distancing etc resulting people getting infected novel coronavirus,real
9185,everyone bus auckland airport ibis hotel followed already managed isolation driver wearing ppe also isolated potential close contact tested ⁣ ⁣,real
4301,thankful montana business leader stepping keep u safe strict stay-at-home protocol followed next three month model show peak june hospitalization via,real
1219,study recovered covid patient find take average day covid symptom first appear patient test negative pcr test older age severe symptom associated longer viral clearance time read,real
10440,video empty hospital show covid fake,fake
4689,diagnostics test currently evaluation new evidence generated around rapid antigen detection test could game-changing covid19,real
3692,world health organization announced sars-cov stay air eight hour,fake
5259,claim cow urine dung could treat covid assam legislator haripriya fact claim add misinformation fear-mongering fight disease scientifically anant bhan health researcher preventive med cure yet,fake
2510,“ following increasing rate spread covid19 across country expanded case definition included new high risk country country priority list china japan iran italy republic korea addition spain france germany ” hmsh,real
4110,new compare college tag make easier see covid impact college town discovery college-related outbreak one many insight pulled tool,real
4077,film star aamir khan distributed thousand rupee poor flour bag,fake
8057,loudspeaker 📢 nigeria international travel portal q test required child age currently child age exempt providing negative covid pcr test result travel nitp faq visit,real
5071,tunisian researcher speaking video found cure covid,fake
4824,quote dr denis mukwege saying resigned congolese coronavirus response team ordered fabricate covid case death number,fake
3433,breaking government update coronavirus advice get used idea also losing unloved one,fake
4075,coronavirus updates india fights corona national expert group vaccine administration meet domestic vaccine manufacture,real
177,open vacancy nurse doctor health professional work temporary hospital são paulo used treat covid case,fake
1643,audio stating certain section society surat vendor spreading coronavirus,fake
9849,second consecutive day india report new infection taking overall confirmed case tally 16.3 lakh directorate general civil aviation extends suspension commercial international flight india till august coronavirus coronavirus facts,fake
3905,india fights corona round pushpin 📍 according new guideline mha lockdown limited containment zone unlock 4 stay safe india will win via,real
7272,transmission coronavirus europe returned alarming rate month say top official world health organisation,real
1374,nation tenant vow cough rent cheque cdn poli rent freeze now covid19,fake
1720,limiting gathering one way slow spread covid19 physical distancing hard find tip support health loved one challenging time,real
8048,get update covid19 listening state local authority cdc stay informed avoid much news pandemic take breaks news social medium,real
4518,“ absence safe vaccine prevent covid19 must rely non-pharmaceutical intervention face mask use 7-14 august commemorate world mask week reinforce use face mask face with medical mask 😷 ” hmh ongoing briefing stream backhand index pointing down medium skin tone 👇🏽,real
2264,noticed error update 8: 35pm correction new case covid19 confirmed nigeria fct bauchi lagos detected vessel returning traveller nigeria close contact confirmed case,real
87,11:50 pm 19th april breakdown case state lagos fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benue anambra borno jigawa,real
4374,message issued india's ministry home affair say posting coronavirus-related message punishable offence,fake
4376,update covid19 impact hiv tb malaria right arrow ➡ ️related death year could increase 10-36 high burden setting right arrow ➡ ️maintaining critical prevention healthcare service significantly reduce overall impact covid epidemic Japanese symbol for beginner 🔰 report,real
9211,recommendation treating colorectal cancer covid pandemic,real
403,say alexandria ocasio-cortez tweeted vital governor maintain restriction business november election economic recovery help trump re-elected business closure job loss small price pay free presidency keep us closed �,fake
3936,india fights corona exponential increase testing infrastructure leading rise testing capacity 25th august test conducted country secretary stay safe,real
8832,coronavirus updates covid19 testing status update stated sample tested upto september sample tested september stay safe india will win,real
7302,social gathering six people banned across britain tougher lockdown restriction imposed worst-hit area need know coronavirus rule impact backhand index pointing down 👇,real
6858,n95 respirator offer protection viral particle wearer mask effective reducing reach covid help stop asymptomatic individual unknowingly spreading disease,fake
7717,foreigner attended sadhguru's event march led coronavirus case tamil nadu india foreigner quarantined isha yoga center,fake
7389,india fights corona focused coordinated containment widespread testing combined supervised isolation effective treatment resulted increasing recovery rate steadily falling case mortality ensured declining percentage active case,real
2456,child immune novel coronavirus,fake
3495,senegalese people flying back italy killed spot senegal airport,fake
2214,reported daily death toll first day since monday little lower last saturday we'll note sat-monday reporting seems come tuesday-friday,real
1027,joe biden repeatedly said first person call invoking defense production act response coronavirus looked timeline,fake
10285,chinese scientist racing start human trial covid vaccine august,real
1421,censor dr li meng yan claim covid bio-engineered red c ... via,fake
2436,serum institute india manufacturing partnership astrazeneca produce oxford university covishield vaccine already denied report said would confirm availability officially vaccine proven immunogenic efficacious,real
7766,video president donald trump announcing roche medical company launch vaccine covid next sunday,fake
6934,pakistan's dr usama riaz contracted coronavirus treating patient left video message died,fake
9634,fit people immune novel coronavirus,fake
1278,college student risk hospitalized covid,fake
7681,widely shared video claim show brazilian lawmaker filippe poubel erupt anger break field hospital claimed novel coronavirus patient find empty,fake
2760,health workers working 24/7 protect heal u covid19 let support hero let thanks health heroes backhand index pointing right 👉,real
5544,cdc explains flattened curve become line extending infinity meaning lockdown never � coronavirus,fake
6239,anybody want test coronavirus get test �,fake
10256,use face shield without face mask face shield alone cannot prevent spread infectious disease like covid19 remember check mark button ✅ wear face mask check mark button ✅ wash hand soap running water check mark button ✅ cough sneeze elbow take responsibility,real
1978,first case covid19 reported 31st december wuhan china five month later disease continues affect people country across globe take responsibilty get together,real
1061,icmr study plot covid peak around mid-november,fake
1425,trump administration plan stop covid screening foreign traveler arriving high risk area concern efficiency effectiveness screening often cause overcrowding long line detecting case read,real
5121,least many u healthcare worker died co vid african american asian pacific islander,real
7887,ethiopia report new infection novel coronavirus bringing total number,fake
5173,inherited broken test � covid,fake
1502,post shared hundred time facebook claim nigerian presidency imposed curfew allow chinese company build 5g mast,fake
4048,june forecast suggest state likely report covid19 death next week previous week nationally total death expected july,real
9079,heart condition like myocarditis associated case covid19 severe cardiac damage rare occurred even young healthy people cdc working understand covid affect heart organ learn,real
3448,young people greater chance killed hpv vaccine covid �,fake
4338,also beginning track soon report outcome data we're working network reporter make number comprehensive possible dozen state currently report form,real
9096,brazil worrying combination pandemic pandemonium,real
5556,nigella seed contain hydroxychloroquine mixed help keep coronavirus away,fake
678,website claiming china confirmed patient zero sex bat,fake
2577,testing fall attributable trouble today storm-related closure fl still problem broader weekly testing declined first time ever dataset,real
9025,get re-infected covid eat sugar drink cold water take shower night,fake
3098,note previous tweet stated facebook post victorian coronavirus number posted one nation leader pauline hanson fact posted victorian branch pauline hanson's one nation party,fake
9740,cheap bourbon gargle throat best virus killer world pure battery acid :),fake
8364,chinese destroying 5g pole aware thing triggering corona symptom,fake
3487,multiple facebook post shared thousand time filipino facebook user make several false claim future vaccine covid disease caused novel coronavirus post also make claim link potential vaccine rollout 5g technology,fake
6653,people left managed isolation facility june people contacted tested negative covid tested leaving managed isolation remaining tested departure facility,real
102,footballer ronaldo turning hotel covid hospital,fake
957,prior economic downturn caused covid united state economy greatest ever peak,fake
8331,percent test coming back positive rising decisively every region northeast well,real
9796,say photo show south carolina stay-at-home order announced,fake
6424,6/10 sky's explains latest covid19 data government announcement get coronavirus data backhand index pointing down 👇,real
8224,video panicked shopper storming supermarket amid coronavirus pandemic,fake
3434,coronavirus caused sale convertible plummet cars beach boys convertible car s chevrolet,fake
2688,watch live boris johnson address nation announcing new coronavirus restriction england house common statement,real
6211,er visit u coronavirus pandemic,real
6771,first minister scotland nicola sturgeon announces introduce similar measure hospitality england said chief medical officer said alone enough bring r rate update latest covid19 restriction,real
8136,ireland Ireland 🇮🇪 provides universal access testing diagnosis treatment covid19 without charge NEW button 🆕 study suggests country build achievement strengthen equitable access health care financial protection backhand index pointing right 👉 who impact,real
6646,vital governor maintain restriction business november election economic recovery help trump re-elected,fake
7145,multiple facebook post shared hundred time claim doctor national taiwan university hospital ntuh taipei found covid disease caused novel coronavirus combination aid sars,fake
3282,icmr establishes new covid19 testing facility launched hon pm lab test tube 🧪 increase testing capacity one o’clock 🕐 reduce turn-around-time lab coat 🥼 reduce exposure lab personnel,real
9377,say covid become endemic,fake
5875,cdc sewage surveillance could leading indicator change covid spread community,real
418,according latest official figure covid-related death new covid19 case uk latest coronavirus update click backhand index pointing down 👇,real
5464,say sarah huckabee sander tweeted odd antifa insurgency happened covid loses steam odd covid happened moment impeachment failed odd impeachment happened moment russian hoax failed russian hoax happened hillary lost notice pattern �,fake
5603,important thread risk dietary supplement cure covid19 supplement prevent down arrow ⬇ ️,fake
5814,get tested covid19 nigeria testing conducted category people presenting covid19 symptom contact confirmed case resident area moderate-high prevalence covid19 recent returnees take responsibility,real
1947,wearing face mask prolonged period time cause hypoxia hypercapnia,fake
2318,yesterday laboratory completed test bringing total number test completed date includes testing managed isolation facility community-based testing across country,real
2299,hello yes coming working website updated soon advice high-risk stay home alert level work home continue,real
10461,person got curfew pas .. wonder porsche car .. w mask .. lockdown .. dma stayed ... high hand .. common man violates .. seize vehicle .. partially show dark face administration ..,fake
8209,09:30 pm 10th april confirmed case discharged death lagos fct osun edo oyo bauchi akwa ibom ogun kaduna enugu ekiti river kwara delta benue ondo katsina niger anambra,real
208,antibody common cold produce positive covid test false-positive result covid antibody testing behind covid case reported u,fake
6389,loudspeaker 📢 coronavirus updates round pushpin 📍 covid19 india tracker september 08:00 right arrow ➡ ️confirmed case right arrow ➡ ️recovered 79.3 thumbs up 👍 right arrow ➡ ️active case 19.1 right arrow ➡ ️deaths 1.6 india fights corona india will win stay safe via,real
5763,india detected covid19 case mar-apr fake misleading claim around pandemic rose common communal rumour followed false guideline notification per analysis,fake
8535,yup reporting negative test commercial laboratory think last real holdout tho state report comprehensively reliably others,real
528,circuit break what's going happen next say new circuit break lockdown rule long-term solution risk covid19 must weighed increased risk death illness latest,real
1233,disney world reopens hope inevitable parental death inspire future film disney covid 19,fake
779,president donald trump said former president obama funded coronavirus creatical biological wuhan lab,fake
722,rt coronavirus updates backhand index pointing right 👉 total recovery demonstrated steep exponential rise backhand index pointing right 👉 india reported highe …,real
3379,new case covid19 nigeria lagos ebonyi edo ondo fct oyo kwara plateau osun bayelsa ekiti katsina akwa ibom kaduna river niger ogun kano cross river bauchi confirmed discharged death,real
4271,say herman cain died cancer covid,fake
5269,wuhan institute virology military funded gain function research bat coronavirus know nih funding end day let cut bullshit finger pointing every country leader sign global ban gof research bury,fake
1860,texas gop stick convention plan state set new daily record covid19 case,real
8933,feel solid we're still sure much coverage state getting hospital,real
10132,image medical facility shared claim indian army set bed hospital rajasthan coronavirus pandemic,fake
9536,rt dr bauchner discus strategy fight covid19 vaccine monoclonal antibody convalescent ti …,real
8790,yesterday laboratory processed test covid bringing total number test completed date ​ ​ laboratory processing test within hour receiving although people allow four day notified test result,real
1992,rt travel increase chance getting spreading covid19 cdc advises nonessential international travel …,real
2332,japanese government refusing use introduce gene test kit manufacturered swiss-based pharmaceutical company roche currently use around world due convenience use believed ministry health already allocated budget public project set develop new test used roche test kit since day one could prevented outbreak cruise ship,fake
5799,muammar gaddafi predicted current coronavirus pandemic warned would created people would sell antidote,fake
8163,claim video amitabh bacchan praising nanavathi hospital covid warrior released,fake
8373,latest cdc co vid view report show adult continue highest rate covid19 associated hospitalization followed adult age – hospitalization rate cumulative continue increase pandemic unfolds,real
7690,bill gate funding vaccine adhesive patch form vaccine contains microchip going used monitor people via 5g network,fake
6507,bahrain accused iran biological aggression criminalised international law lying extent outbreak iran,fake
2471,underrated supplement acetylcysteine nac acc liquefies mucus may help cold maybe also covid help prostatitis bc liquefies prostata fluid evidence protects liver kidney off-label use depression anxiety,fake
6531,metro manila rise covid case one day,fake
3869,brazil recorded death first half first half,fake
8855,rt cdc recommends using epa-registered household disinfectant protect virus cause covid19 visit …,real
5306,unfortunately today four people hospital covid – two stable isolation ward one middlemore one north shore hospital two icu north shore waikato hospital want send family aroha,real
1396,weekend president trump retweeted two post misconstrue covid data cdc vast majority death involving covid attributed virus,fake
1489,_claim coronavirus new canine coronavirus vaccine since,fake
7907,india fights corona continuous upward trajectory india total recovered case crossed 32.5 lakh today patient discharged last hour resulted recovery rate touching 77.31 detail stay safe,real
2884,new case covid19 lagos kano oyo edo katsina kaduna jigawa yobe plateau fct gombe ogun bauchi nasarawa delta ondo river adamawa case covid19 nigeria discharged death,real
7500,biden attack trump covid vaccine several claim generally accurate line prediction expert however exaggerated accused trump administration plan,fake
1042,help protect others covid19 social distancing wearing cloth face covering fit snugly reach nose chin completely cover mouth nostril watch video featuring,real
4309,india fights corona update covid19 india see unprecedented surge recovery nearly recovery last hour total number recovered case nearly lakh stay safe india will win,real
573,burglar suffer corona crash criminals appeal crook burglars break in going bust,fake
8184,yesterday made tough decision begin standardize way capture state data sum testing-confirmed case covid suspected case currently hospitalized number,real
257,coronavirus updates round pushpin 📍 total covid19 case india september play button ▶ ️80 cured discharged migrated play button ▶ ️17 active case play button ▶ ️1 death (8 total covid confirmed case cured discharged migrated active case death,real
7995,news write perfect profile new covid-sceptic dating website,fake
8206,president xi jinping visit masjid pray coronavirus victim,fake
9134,previously reported case considered recovered today community case,real
8486,video viewed thousand time multiple post facebook twitter claim show u president donald trump tested positive novel coronavirus,fake
2835,new legislation introduced enforce local lockdown one english city tackle spike covid case,real
6746,cuba trying interferon alfa 2b heavy treatment normally used treat leukemia lot side effect result little benefit covid also never vaccine alleged tweeting mayor drip,fake
2089,say nancy pelosi caught trying include abortion funding bill combat coronavirus �,fake
702,india cross another landmark record highest ever test single day 10.5 lakh covid19 test conducted last hr state ut conducting test day million advised,real
7740,coronavirus saying aadab sends infected air mouth claim bjp leader ramesh bidhuri,fake
503,video elderly woman struggling breathe lying seems plastic bag according post inside bag hospital morgue rescued relative,fake
4908,liquid mixture sold claim covid19 vaccine false currently vaccine drug approved covid19 prevention health authority take respons li bility purchase consume drug accredited pharmacy health facility,real
9349,also obvious typo correction first tweet we've tracked 11.5 million test 1.5 million here's bonus cumulative chart,real
1345,ten thousand people victim coronavirus died china proven map wuhan released online show massive burning corps,fake
6532,good immune system helping body function normally got lot mineral thats good u help fight cold n flu n shit since ab winter covid cause lol oh room temp water,fake
10314,random post renowned yoga guru keep making self test recommendation covidー19 fact check,fake
2248,we're getting better estimate uw virology lab update today lot testing,real
5629,rt covid19 clinician tip underscore importance following cdc precaution prevent covid social dis …,real
4281,previously reported case considered recovered today total number active case plus one previously reported probable case remains active active case imported case miq,real
372,covid totally confused allowed,fake
8949,muslim spreading coronavirus leaving money strewn street,fake
4185,people linked community cluster remain auckland quarantine facility includes people tested positive covid household contact,real
2006,“ monitoring infection rate city ” mayor liverpool joe anderson say local lockdown restriction “ possibly done bit earlier ” kay burley,real
10064,country covid19 case together home many people india conducted 28x test india here's factcheck,fake
4394,new case covid19 nigeria fct lagos plateau kaduna oyo ondo adamawa bauchi river ogun delta edo kano enugu nasarawa osun confirmed discharged death,real
10348,covid disrupting pension,fake
10485,video year-old indian boy named abhigya anand alleged predicted coronavirus,fake
9759,eating salt frequently protects corona infection better wearing mask,fake
6853,facebook using picture post lawsuit amid covid pandemic,fake
2102,indian ministry home affair mha issued order sharing post coronavirus social medium group punishable offense,fake
997,indian ayurvedic pharmaceutical patanjali claimed ayurvedic ministry approved sale covid ayurvedic medicine coronil produced company,fake
8675,close residential setting psychiatric facility promptly identifying covid19 case applying adapted infection prevention control procedure critical protect patient staff see new report one psychiatric facility,real
9792,everyone ensure mouth throat moist never dry advice attributed japanese doctor treating covid case read take sip water every minute least,fake
1176,intrepid investigative reporting reveals mystery ingredient russki covid vaccine russia coronavirus,fake
551,picture show young pregnant doctor died covid algeria,fake
744,fauci called launch “ importanttesting patient hospital coronavirus,real
3298,people recovered – confirmed probable case recovered test processed yesterday brings total number test people currently hospital,real
6292,india fights corona health ministry issue revised sop preventive measure followed conducting examination contain spread covid19,real
3921,continue ignore expert downplay virus cult continue go along despite evidence answer lie psychology expert accurately predicted he'd react real crisis msm shut book published,fake
9899,new case covid19 lagos jigawa borno kano bauchi fct edo sokoto zamfara kwara kebbi gombe taraba ogun ekiti osun bayelsa case covid19 nigeria discharged death,real
3428,cdc announces student may kept parent overnight ohio set covid fema camp �,fake
8021,help slow spread covid19 practice social distancing keep least six foot physical distance others wear cloth face covering essential trip tip,real
9460,initiated testing state art cobas machine patna test sample day hon ble pm congratulated bihar enhanced covid testing capacity icmrfightscovid19 india fights corona,real
7729,difficult put exact date availability covid19 vaccine however union health minister recently stated india's first vaccine novel coronavirus could developed end year,real
8385,march president trump said coronavirus snuck u ” adding “ unforeseen thing pant fire member trump administration sounding alarm month via,fake
8354,mike pompeo launch fresh attack coronavirus,fake
5825,video show fbi raid synagogue requisition medical device,fake
8821,rt going cooling center beat heat summer follow tip protect covid19 practi …,real
6057,rt coronavirus updates backhand index pointing right 👉 new recovery india exceeded new case last six day backhand index pointing right 👉 total number …,real
9180,terminally ill patient resentful dying covid death coronavirus healthcare cancer,fake
6213,believe 14.5 million people died china due covid well believe till saw backhand index pointing down 👇 14.5 million missing mobile phone found wuhan crematorium,fake
3776,president donald trump evoke sic called stafford act � order two week mandatory quarantine nation �,fake
693,fact check neither viral post coronavirus covid unicef accurate,fake
2533,little week covid spread staff camper georgia sleep away camp,real
5111,covid19 symptom take 2-14 day develop infected people symptom asymptomatic mild symptom still infect others take responsibility protect others check mark button ✅ observe physical distancing person walking medium skin tone 🚶🏽 person walking medium skin tone 🚶🏽 check mark button ✅ wear face mask face with medical mask 😷 check mark button ✅ wash hand frequently sweat droplets 💦,real
982,administration via announces ship 6.5 million member bin ax now coronavirus testing kit state week first million ship abbott test requires additional equipment provides result min,fake
8520,geography epidemic continues change burden moving state large early outbreak place,real
5654,nz covid tracer recorded registered user poster created date ministry continues remind new zealander keep record they've remains one best tool continued fight covid,real
79,philippine senator grace poe risa hontiveros silent coronavirus crisis vocal closure abs-cbn,fake
8545,right model show chart decreasing 📉 state reduced risk re-opening moderate risk re-opening chart increasing 📈 elevated risk re-opening find state county covidactnow.orghttps :/ t.co/ymdcwfq4uh,real
4083,say new york time exposed real reason behind coronavirus hype crash market harm trump re-election chance �,fake
7332,claim spanish singer miguel bosé bill melinda gate foundation made last tuesday june twitter thread personal account,fake
2266,ucla health medical record suggests covid may circulating u since last december physician noticed er visit respiratory complaint patient acute respiratory failure compared past year,real
3946,video posted facebook claiming chloroquine azithromycin proven cure covid,fake
4217,school could forced close partially fully lack coronavirus test staff symptom headteacher warned,real
10294,trump suggests donkey penis cure covid donald trump covid19,fake
261,louisiana posted record case count back-to-back reporting saturday one positive thread compare hospitalization case chart clear we're diagnosing infection 4/2 la's first peak test today,real
2142,death respiratory failure pneumonia registered covid according civil registry website,fake
4043,cumulative hospitalization still largely driven new york california second hospitalization louisiana third,real
10385,say vatican confirmed pope francis two aide tested positive coronavirus,fake
2268,must read piece chinese researcher revealing bio-engineered aspect chicomvirus covid length enemy freedom go suppress truth conservative conversation dear kmag open topic via,fake
445,california announced frustrating decision week counting people tested begun reporting total test completed attempt resolve individual patient,real
8142,caregivers older adult people severe chronic health condition may higher risk serious covid19 illness watch symptom fever cough shortness breath emergency warning sign find,real
5044,_a video viewed ten thousand time multiple post facebook twitter april alongside claim show arrest indian activist trupti desai attempted buy alcohol government-imposed lockdown triggered covid pandemic,fake
9573,channel jon snow infected coronavirus,fake
4813,whatsapp forward claim covid vaccine ready announced u president donald trump launched next sunday also claim vaccine discovered u scientist cure covid infected patient within hour whatsapp forward alleged image vaccine also shared,fake
8005,state reported 42k new case today five highest day data last day number new case reported last sunday 6/21 6/14 6/7 5/31 5/24,real
6414,data co vid net show period decline covid19 hospitalization rate begun increase recent week help slow spread covid stay foot apart wear mask wash hand often,real
10454,daily update published tracked 17.8 million test 417k yesterday day average 400k note track test state report detail see,real
1701,people starting enter er fungal lung infection wearing mask,fake
5060,president trump say signing executive order changing name coronavirus donald trump,fake
6903,acc guideline 1-2 covid19 case reported need close entire office building halt work area office work resumed disinfection per laid protocol 1/4,real
2526,covid update kia orana happy cook island language week ​ ​ three new case covid report managed isolation new zealand today,real
6974,biden friend china manufactured coronavirus lab wuhan released world trump banned china travel biden left called xenophobic urged people visit chinatowns dems blocked off-label use hcq china blame dems,fake
10002,news government finalising plan comprehensively blame eu coronavirus,fake
68,main mode transmission novel coronavirus droplet possible infected smoker may blow droplet carrying virus exhale regardless covid19 steer clear second-hand smoke may cause various health problem,real
1168,nobel prize winner inventing pcr method say suitable virus detection,fake
48,school struggling cope lack covid19 test new infection increasing since became compulsory pupil return get child tested virus here's explainer backhand index pointing down 👇,real
1053,amish community remained covid free coronavirus pandemic,fake
84,seasonal influenza vaccination mandatory georgia fall covid mortality rate significantly lower fatality caused virus,fake
3149,people linked community cluster remain auckland quarantine facility includes people tested positive covid household contact,real
880,update suicidal man seek coronavirus infection,fake
2651,increase case pneumonia mexico,fake
8690,help slow spread covid19 practice social distancing keep least six foot physical distance others wear cloth face covering public tip,real
2439,new covid law walker allowed clothesline jogger pas close,fake
4256,doctor donald trump coronavirus william barr vice president mike pence steven seagal,fake
9330,new case covid19 confirmed nigeria fct lagos detected vessel returning traveller nigeria close contact confirmed case 7:35 pm 26th march confirmed case discharged death,real
1467,meanwhile continuing work partner act accelerator covax facility ensure vaccine available available equitably country covid19,real
8550,nh service could take long year recover effect covid,real
6482,contact tracing intense difficult work safety economy depend,real
2441,one woman experienced mild symptom symptom-free presented testing wellington community assessment centre cbac part agreed self-isolation plan,real
5279,thus enhanced timely testing keeping positivity rate low also fatality rate low,real
230,though number new case remained relatively flat regional data show we're steady state new case region scaled population,real
1320,_vaccines novel coronavirus dangerous moreover mutation virus make ineffective,fake
41,football player cristiano ronaldo turned hotel hospital help coronavirus patient paying doctor staff,fake
3039,confirmed case household contact previously confirmed case linked cluster ⁣ ⁣ probable case nurse employed waitemata district health board self-isolation ⁣ affected area waitakere hospital remain closed ⁣,real
777,totally agree hospitalization number extremely uneven we're gonna put statement monday we've capturing data long enough see trend,real
9491,common question coronavirus case going we're testing many people certainly florida testing slowed new case grew last week,real
2372,since number covid19 case increased fivefold 17.5 million number death tripled,real
1729,new case covid19 nigeria lagos delta ondo fct edo oyo kaduna enugu katsina imo adamawa ogun osun abia river nasarawa bauchi niger kebbi ekiti plateau taraba confirmed discharged death,real
7753,post video facebook say drinking inhaling seawater prevents covid,fake
579,picture hospital santo andré brazil say caption despite covid crisis hospital patient,fake
4792,say democratic leader wearing mask social distancing private,fake
6595,rt india fights corona kudos india's frontline health worker country achieves record high covid19 reco …,real
3078,say covid remains air eight hour everyone required wear mask everywhere �,fake
10085,man us whatsapp tiktok google map snapchat instagram facebook twitter apps privacy concern covid app,fake
7458,california reported record number death today know one-off bad day state regularly begin reporting much higher number death,real
3872,brazilian mp revealed hospital claiming treat covid patient,fake
2867,coronavirus gripped italy nobody willing carry corps italy's street,fake
1491,south reported nearly case country today 39k that's one region country ever reported june,real
8367,vermont low percentage 0.6 positive covid test suggests enough widespread aggressive testing vermont detect new case identifying isolating new case help contain covid without resorting lockdown,real
6339,india confirmed case count rose 27.6 lakh number recovery country crossed lakh uttar pradesh minister state health family welfare atul garg tested positive coronavirus covid 19,fake
61,government come pressure lack availability covid19 test read,real
5011,bill gate predicted simulated covid pandemic,fake
4502,daily update published number coming back dip holiday weekend state reported 52k new case today 653k new test reported today death reported today several day unusually low death figure,real
7382,leader bolton council say unacceptable resident trying book covid test diverted away test site town considerable peak case,real
402,india fights corona focused coordinated implementation “ test track treat ” strategy focusing early identification effective clinical management resulted low continuously sliding case fatality rate cfr,real
332,police car 🚓 criminal inquiry launched allegation poor maternity standard nh trust,real
2084,country start open see case death starting spike concern potential lack hospital capacity covid19,real
3057,standby we've got little bug squash daily number,real
5749,rt india fights corona india scaled yet another peak lakh sample tested past hour cumulative …,real
9934,couple state midwest changed way report affected topline number minnesota changed reporting total test people tested led jump data 45k test michigan added probable case total adding 5k case,real
5768,two people considered recovered covid mean active case covid new zealand managed isolation quarantine,real
164,phase dos allocated proportionally participating country simultaneously reduce overall risk phase consideration given country relation threat vulnerability covid19,real
4789,self-isolation since case notified ⁣ ⁣ second person travelled back overseas imported case ⁣ ⁣ today case bring new zealand combined total confirmed probable covid case ⁣,real
2715,john edward grime praised social medium speaking wearing mask sticking social distancing rule,real
9463,yup that's prospective data hole that's really opening we're concerned we've seen state like tn sometimes move towards openness,real
5863,11:00 pm 14th april number state confirmed case covid19 fct lagos fct osun edo oyo ogun bauchi kaduna akwa ibom katsina kwara kano ondo delta enugu ekiti river benue niger anambra,real
5795,runny nose coughing sputum symptom covid,fake
3317,ancient herbal drink effective remedy novel coronavirus,fake
6906,death reported today bringing total dataset include probable death recorded nyc published new york state address excess mortality reported cdc,real
2755,test patient vitamin level improve immunoresponse covid19,real
6159,comparing covid data action united state spain estimate u saved life early action save life,real
7945,09:30 pm 9th april confirmed case discharged death info lagos fct osun edo oyo bauchi akwa ibom ogun kaduna enugu ekiti river kwara delta benue ondo katsina,real
1334,new case covid19 nigeria fct lagos plateau ogun edo river oyo osun delta enugu kano kaduna bauchi bayelsa yobe confirmed discharged death,real
8131,coronavirus updates state-wise detail total confirmed covid19 case till september right arrow ➡ ️states 1-20000 confirmed case right arrow ➡ ️states 20001-115000 confirmed case right arrow ➡ ️states confirmed case right arrow ➡ ️total confirmed case far,real
2864,population may infected antibody vast majority people still vulnerable disease say sir patrick warns people britain still danger contracting coronavirus live update,real
1659,half year sounding highest alarm declaring covid19 outbreak public health emergency international concern time january case outside china death,real
7407,midnight tonight monday 8th june new zealand shift alert level ⁣ alert level everyone return without restriction work school sport domestic travel get together many people want,real
753,four people hospital covid – one auckland city north shore hospital two middlemore four patient isolation general ward,real
3064,tube removed video touting coronavirus treatment make president trump look bad,fake
9125,reminder dm open testing tidbit may state maybe work heath department big testing company would like explain going,real
9938,daily update published tracked 3.5 million test 140k yesterday little april average note track test state report state report test detail see,real
4250,trump appoint jerad captain us theodore roosevelt trump drop ball corona � gavin newsom,fake
7070,next week we're expanding covid19 testing capacity using gene-xpert machine part national laboratory testing strategy remain committed supporting state nigeria test trace isolate read strategy,real
706,politicized doctor still treating covid patient within day still sending people home quarantine day without treatment still using hydroxy chloroquine instead using le effective drug murder,fake
8417,thinkin jim bakker pitching colloidal silver covid cure back march,fake
2973,reserve bank india rbi extended year closing 6/30,fake
10208,advise wear surgical mask reverse make fully effective,fake
4233,india fights corona following national lead state ut also reporting higher number new recovery new case,real
9067,coronavirus rhondda cynon taff go local lockdown amid rise case,real
7401,u arm doctor shoot covid site coronavirus updates covidー19,fake
10467,rule thumb thumbs up 👍 number one index pointing up ☝ ️ friend whānau home remember gathering need kept small limited people – that's others information visit,real
3508,dr yan presented evidence covid sophisticated bioweapon created chinese communist party using fund obama channelled dr faucci nih breaking u law,fake
10159,donald trump published twitter account brazilian president javier bolsonaro great guy covid policy leading genocide,fake
3151,snap analysis relief california tested people knew hour ago said huge state know many test still pending based ca's previous reporting could lot,real
7528,new york share daily death flat slight decline,real
10129,announced supply agreement u government initial million dos mrna vaccine candidate covid read,real
